,x,y,z,depth,dA,i_hat,j_hat,k_hat
1,-148.563135,20.98382175,3.5325649749999997,-3.5325649749999997,5.2510418420077345,-0.04384610097726397,0.9194389477693192,-0.388171016803705
2,-145.688965,21.07391525,3.437717975,-3.437717975,5.259847550465629,-0.037996020801916906,0.9449589870410743,-0.32262641451635576
3,-142.81366250000002,21.1428215,3.3455270500000003,-3.3455270500000003,5.29854885154042,-0.026671164036404627,0.9630083592391302,-0.26623360996494755
4,-139.9378325,21.19990875,3.254366575,-3.254366575,5.356743515078451,-0.027151736834650816,0.9762485137150236,-0.21205146135465486
5,-148.562675,21.3688165,5.29251835,-5.29251835,5.29246553778158,-0.006108244212610451,0.9993732208375437,-0.03293458178398778
6,-145.6879275,21.383491,5.22830075,-5.22830075,5.3255692429587915,-0.005210776927787924,0.9998208497526201,-0.015612770300406283
7,-142.81286,21.39307475,5.16335325,-5.16335325,5.352325648092593,-0.0019504485002376595,0.9999790534269122,-0.005482128124420574
8,-139.9376075,21.397931749999998,5.098201325,-5.098201325,5.374013850366909,-0.0015736849513611764,0.9999942842416123,-0.0007160441002001211
9,-123.92497750000001,21.40187675,7.7713316,-7.7713316,5.232264551731792,0.0032100689023880826,0.9999935273171088,0.0008586328045219878
10,-125.9749775,21.40187675,7.746231025,-7.746231025,5.266801953823855,-0.0032301557761927778,0.9999934577579217,0.0008585864693807191
11,-123.9249925,21.39967775,10.323671675,-10.323671675,5.2322208556840355,0.0010724540376730797,0.9999981123950394,0.0008582450680089183
12,-125.9749925,21.39967775,10.3153051,-10.3153051,5.266600719697367,-0.001078646061843229,0.9999980990957282,0.0008582329905971184
13,-137.056085,21.39857825,7.377987125,-7.377987125,8.127788872430035,1.7674366184665252e-07,0.9999999999999367,1.7863894151493792e-07
14,-134.1682525,21.398578,7.331254525,-7.331254525,8.21740383204249,0.0,1.0,0.0
15,-131.2810375,21.398578,7.288605350000001,-7.288605350000001,8.295761831552502,0.0,1.0,0.0
16,-128.41887,21.39857825,7.502168425000001,-7.502168425000001,7.757936513834523,-1.977813693541681e-07,0.9999999999999307,1.9253936745912106e-07
17,-137.0603625,21.39857825,10.192550175000001,-10.192550175000001,8.103824471655525,1.7197800917629364e-07,0.9999999999999378,-1.7811352253100706e-07
18,-134.181085,21.398578,10.176975050000001,-10.176975050000001,8.193396315047984,0.0,1.0,0.0
